sentence,highlight,category,subcategory,polarity
These changes will have to come quickly and a large scientific backing will be required or the industry will risk collapsing as more and more people turn away from the possible dangers of infected beef., more people turn away from the possible dangers,APPRECIATION,REACTION,NEG
"People throughout the United Kingdom were, doubtless shocked and perhaps upset by images in the national press and television news of cows who had contracted the disease bovine spungiform encephalapthy, or BSE.",NONE,NONE,NONE,NONE
"The so-called 'mad cow disease' seemed to make the cows lose all sense of balance and direction, stumbling around drunkenly.","lose all sense of balance and direction, stumbling around drunkenly",JUDGEMENT,CAPACITY,NEG
Herds where this disease was found were put down before the symptoms progressed further.,NONE,NONE,NONE,NONE
Those cows which had been put down were not used for food.,NONE,NONE,NONE,NONE
"The disease infects the cow, and is then present in the spinal fluid within the spine and the brain, and as the spinal fluid is usually spilt in the slaughter of cattle for meat, the risk of contamination of the meat was one the industry was not willing to take.", the risk of contamination ,APPRECIATION,REACTION,NEG
"The human disease, Crentzfeld-Jacob disease, or CJD, is believed to be a human form of BSE, although no clear link has yet been established between the two.",NONE,NONE,NONE,NONE
"It is unclear whether incidence of CJD is on the rise, or whether awareness of the condition is heightened, but more cases, from all ages have been diagnosed recently, and the disease is always fatal.",fatal,APPRECIATION,WORTH,NEG
"The government insists, perhaps correctly, that British beef is perfectly safe to eat.",perfectly safe,APPRECIATION,REACTION,POS
"However, people are genuinely scared of the presence of the disease in the U.K., and many are abstaining from eating beef.",NONE,NONE,NONE,NONE
"Many schools have removed beef from their menus, substituting pork and chicken, and sales of beef have shown a decline.",NONE,NONE,NONE,NONE
"The implications for the beef industry could be rather serious, where everybody to boycott beef products.",The implications could be rather serious,APPRECIATION,WORTH,NEG
"To compensate, beef prices have dropped, in attempts to sell more meat, but the public remains sceptical.",sceptical,JUDGEMENT,PROPRIETY,NEG
"If beef continues to fall from favour, then the beef industry's future would be unclear.",NONE,NONE,NONE,NONE
"Beef products are present in many foodstuffs such as jellies, fruit gums, and of course stock cubes.",NONE,NONE,NONE,NONE
Would all these products have to find synthetic or substitute ingredients?,NONE,NONE,NONE,NONE
"Even if the entire beef industry were to grind to a halt, the numerous heads of beef cattle worldwide would no longer be needed, but, being bred as they are, for beef, they would be useless for milk products.", useless,APPRECIATION,WORTH,NEG
"Not all beef can be infected, though, and the situation has become a waiting game.",waiting game,APPRECIATION,REACTION,NEG
"For beef to be repreived or condemned, we are forced to turn to the scientists to establish whether or not BSE and CJD are linked, and, more importantly, whether the latter can be contracted by eating meat contaminated with the former.",NONE,NONE,NONE,NONE
"The nation awaits the verdict on tenterhooks, and it is in the majority's interests that there be no proven link.",NONE,NONE,NONE,NONE
Watch this space.,NONE,NONE,NONE,NONE
"Personally, I believe that it is merely that man is better at diagnosing CJD now than ever before.",NONE,NONE,NONE,NONE
"Some reports say that it can take up to 20 years to develop, so we could all already have it.",NONE,NONE,NONE,NONE
"Whatever you believe, I shall continue to enjoy my roast beef and Yorkshire pudding, thankyou.",NONE,NONE,NONE,NONE
The main reason for the people of Britain to stop eating beef at the moment is the threat of BSB.,NONE,NONE,NONE,NONE
This is a viral disease that attacks the central nervous system which can be passed on through consumsuming the animal.,NONE,NONE,NONE,NONE
In cows it is commonly know as mad cow disease and by law any cow showing these signs must be destroyed and not sold for meat.,NONE,NONE,NONE,NONE
"The problem is however the signs are not shown for a long time, this being a viral disease.",The problem is however the signs are not shown for a long time,APPRECIATION,REACTION,NEG
It can be passed on to humans through eating parts of the animal such as the brain which is affected and these parts are usually sold and put into fast foods such as beef burgers.,NONE,NONE,NONE,NONE
"The rest of the meat however is relatively safe and eating, e.g. a steak offers very little chance of the disease being passed on.",relatively safe,APPRECIATION,REACTION,POS
However the British press has ignored this fact and blown the situation out of proportion considering only a very small number of people have died of the disease after a lifetime of eating beef.,only a very small number of people have died,JUDGEMENT,NORMALITY,POS
"Another reason for the British people to stop eating beef is the push for vegetarianism, although this is a much smaller threat to the trade than the former point abut BSB.",a much smaller threat,APPRECIATION,WORTH,POS
These factors could have a considerable impact on the agricultural industry preventing the sale of British dairy livestock not only in Britain but for export aswell.,a considerable impact,APPRECIATION,WORTH,NONE
"With global communications as good as they are now, it could send a scare across the world about British Beef - indeed France and Germany already have restricted and someplaces banned the sale or import of British beef for fear of it's safety.",as good as they are now,APPRECIATION,REACTION,POS
"Although British farmers have learned to diversits, Dairy farming and the sale of Beef products still forms the backbone of British agriculture and would completely change the face of farming in Britain.",forms the backbone,APPRECIATION,WORTH,NONE
